ShaderPreCompiler: Disabled, debugging variants to pre-compile.
02-11 10:04:09.780  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_TransparentColor (instance 0x176), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 3.7 ms
02-11 10:05:40.332  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBR, time: 0.087 ms
02-11 10:05:40.332  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_RGBR, time: 0.095 ms
02-11 10:05:40.332  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA, time: 0.1 ms
02-11 10:05:40.348  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_MAKEBW, time: 16 ms
02-11 10:05:40.352  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_2Texture2uv (instance 0x16C76), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.17 ms
02-11 10:05:40.366  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER5, time: 14 ms
02-11 10:05:40.409  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER4_FLOWMAP_ROTATION _LAYER5, time: 43 ms
02-11 10:05:40.449  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER1_FLOWMAP _LAYER2_FLOWMAP _LAYER4, time: 39 ms
02-11 10:05:40.480  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER2_FLOWMAP _LAYER5, time: 31 ms
02-11 10:05:40.931  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBR, time: 8.7 ms
02-11 10:05:40.988  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBA _VERTEXMASK_ON, time: 58 ms
02-11 10:05:41.023  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA _VERTEXMASK_ON, time: 34 ms
02-11 10:05:41.047  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBA _VERTEXMASK_ON, time: 23 ms
02-11 10:05:41.069  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBR, time: 22 ms
02-11 10:05:41.558  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_MAINALPHA _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBR, time: 38 ms
02-11 10:05:41.558  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Distortion_Masked (instance 0x184DC), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.35 ms
02-11 10:05:42.366  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBR, time: 2.8 ms
02-11 10:05:42.367  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Diffuse/Diffuse_Cutout (instance 0x565E), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 0.88 ms
02-11 10:05:42.373  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Unlit_Diffuse_Flowmap (instance 0x18430), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 5.2 ms
02-11 10:05:42.439  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_RGBA, time: 66 ms
02-11 10:05:42.440  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBR _VERTEXMASK_ON, time: 0.16 ms
02-11 10:05:42.462  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXROTATION_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBR _VERTEXMASK_ON, time: 22 ms
02-11 10:05:42.536  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBA, time: 70 ms
02-11 10:05:42.536  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXROTATION_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA, time: 0.19 ms
02-11 10:05:42.537  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_RGBA, time: 0.4 ms
02-11 10:05:42.559  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBR _VERTEXMASK_ON, time: 22 ms
02-11 10:05:43.866  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Universal Render Pipeline/FallbackError (instance 0x18596), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.96 ms
02-11 10:05:43.886  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_Transparent_Desaturate (instance 0x5590), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.53 ms
02-11 10:05:45.443  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Unlit/Transparent (instance 0x58BE), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1 ms
02-11 10:05:45.863  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberCardBack (instance 0x5420), pass: <Unnamed Pass 0>, keywords _LAYER2_FLOWMAP, time: 0.32 ms
02-11 10:05:45.933  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER1_FLOWMAP _LAYER5, time: 71 ms
02-11 10:05:46.008  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Sprites/Default (instance 0x2156BE), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.94 ms
02-11 10:05:46.129  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Unlit/Transparent Cutout (instance 0x148528), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.28 ms
02-11 10:05:48.953  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Unlit/Texture (instance 0x25B55C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 23 ms
02-11 10:05:48.957  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: LegendaryHero/Character (instance 0x184D6), pass: Opaque Pass, keywords _DEBUGGING_NONE _GRADIENT_LIGHTING _MROE_LIGHTING _REFLECTION_CUBEMAP _SCROLL_EMISSIVE _TRANSPARENCY_NONE, time: 4.3 ms
02-11 10:05:49.003  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Universal Render Pipeline/FallbackError (instance 0xC96D2), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 46 ms
02-11 10:05:49.004  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_MAINALPHA _SECONDTEXROTATION_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_RGBR, time: 0.96 ms
02-11 10:05:49.007  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXGLOBALUV_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBR, time: 2.7 ms
02-11 10:05:49.007  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _FRESNEL_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_MAKEBW, time: 0.1 ms
02-11 10:05:49.008  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBR _VERTEXMASK_ON, time: 0.097 ms
02-11 10:05:49.008  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_MAINALPHA _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_RGBR, time: 0.045 ms
02-11 10:05:49.057  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: R2TTransparent (instance 0x25B540), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.29 ms
02-11 10:05:50.079  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_Texture_Desaturate (instance 0x5484), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.41 ms
02-11 10:05:51.406  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_Dissolve_Edge (instance 0x53EC), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.47 ms
02-11 10:05:51.465  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particles_Transparent_ColorAsAlpha (instance 0x5B00), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.23 ms
02-11 10:05:52.529  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Selection/Highlight (instance 0x2E3C6), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.12 ms
02-11 10:05:54.915  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Portrait/Unlit_alpha_multisample (instance 0x1838C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.91 ms
02-11 10:05:54.975  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: LegendaryHero/Character (instance 0x184D6), pass: Shadow Pass, keywords <no keywords>, time: 0.93 ms
02-11 10:05:55.034  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Portrait/Depth_Mask_From_Texture (instance 0x184AE), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 59 ms
02-11 10:05:55.102  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: GUI/Text Shader (instance 0xA0), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.17 ms
02-11 10:06:00.768  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/BasePage (instance 0x1849E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 2.5 ms
02-11 10:06:03.163  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/BasePage (instance 0x1849E), pass: PageMask, keywords <no keywords>, time: 0.81 ms
02-11 10:06:03.198  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/PageTurn (instance 0x183EE), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 20 ms
02-11 10:06:09.454  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Effects/FX_Desaturate (instance 0x532E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1.9 ms
02-11 10:06:09.488  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/DeckCardBarPortrait (instance 0x5178), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 34 ms
02-11 10:06:13.537  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER4_FLOWMAP _LAYER5, time: 1.6 ms
02-11 10:06:13.612  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/UnlitScroll2LayerDistortionPremium (instance 0x18458), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 75 ms
02-11 10:06:13.633  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/GoldenPortraitUber (instance 0x16C72), pass: CardUber, keywords FX3_ADDBLEND FX3_FLOWMAP, time: 21 ms
